ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt, GPS.speed, GPS.speedAccel, GPS.latitude, GPS.longitude
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918905008
0.000000, 0.510016, 0.579018, 3.288100, 0.000000, 0.000000, 0.000000, 1.293227, 0.000000, 0.000000, 0.000000, 0.551829, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
2.889088, 0.606018, 0.573017, 2.424074, 1.115284, 1.115284, 1.115284, 1.274851, 0.834588, 0.834588, 0.834588, 0.834588, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
2.259069, 0.588018, 0.582018, 2.151066, 1.274851, 1.274851, 1.274851, 1.222537, 0.584455, 0.584455, 0.546017, 0.546017, -0.100000, -0.001953, -0.001953, 1.035156, 125.264381, 90.108101, -18.059999, 0.000000, 0, 0,0, 0, 0,0,1918904912
2.046062, 0.579018, 0.615019, 2.079063, 1.222537, 1.222537, 1.222537, 1.234538, 0.706709, 0.706709, 0.706709, 0.545829, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.986061, 0.576018, 0.588018, 2.010061, 1.234538, 1.234538, 1.234538, 1.260038, 0.839276, 0.839276, 0.839276, 0.589705, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 17.990000, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.935059, 0.594018, 0.612019, 2.112064, 1.260038, 1.260038, 1.260038, 1.283852, 0.589705, 0.589705, 0.589705, 0.554079, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.992061, 0.585018, 0.606018, 2.115065, 1.076658, 1.076658, 1.076658, 1.263601, 0.833275, 0.833275, 0.833275, 0.591956, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 17.990000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.995061, 0.603018, 0.606018, 2.115065, 0.938279, 0.938279, 0.938279, 0.938279, 0.826150, 0.826150, 0.826150, 0.583893, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
2.028062, 0.588018, 0.612019, 2.115065, 1.312165, 1.312165, 1.312165, 1.299977, 0.583893, 0.583893, 0.583893, 0.557829, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 17.990000, 0.000000, 0, 0,0, 0, 0,0,1918904912
